College,Private,Apps,Accept,Enroll,Grad.Rate
Abilene Christian University,Yes,1660,1232,721,60
Adelphi University,Yes,2186,1924,512,56
Adrian College,Yes,1428,1097,336,54
Agnes Scott College,Yes,417,349,137,59
Alaska Pacific University,Yes,193,146,55,15
Albertson College,Yes,587,479,158,55
Albertus Magnus College,Yes,353,340,103,63
Albion College,Yes,1899,1720,489,73
Albright College,Yes,1038,839,227,80
Alderson-Broaddus College,Yes,582,498,172,52
Alfred University,Yes,1732,1425,472,73
Allegheny College,Yes,2652,1900,484,76
Allentown Coll. of St. Francis de Sales,Yes,1179,780,290,74
Alma College,Yes,1267,1080,385,68
Alverno College,Yes,494,313,157,55
American International College,Yes,1420,1093,220,69
Amherst College,Yes,4302,992,418,100
Anderson University,Yes,1216,908,423,59
Andrews University,Yes,1130,704,322,46
Angelo State University,No,3540,2001,1016,34
Antioch University,Yes,713,661,252,48
Appalachian State University,No,7313,4664,1910,70
Aquinas College,Yes,619,516,219,65
Arizona State University Main campus,No,12809,10308,3761,48
Arkansas College (Lyon College),Yes,708,334,166,54
Arkansas Tech University,No,1734,1729,951,48
Assumption College,Yes,2135,1700,491,88
Auburn University-Main Campus,No,7548,6791,3070,69
Augsburg College,Yes,662,513,257,58
Augustana College IL,Yes,1879,1658,497,71
Augustana College,Yes,761,725,306,69
Austin College,Yes,948,798,295,71
Averett College,Yes,627,556,172,48
Baker University,Yes,602,483,206,65
Baldwin-Wallace College,Yes,1690,1366,662,85
Barat College,Yes,261,192,111,71
Bard College,Yes,1910,838,285,79
Barnard College,Yes,2496,1402,531,91
Barry University,Yes,990,784,279,72
Baylor University,Yes,6075,5349,2367,72
Beaver College,Yes,1163,850,348,73
Bellarmine College,Yes,807,707,308,84
Belmont Abbey College,Yes,632,494,129,52
Belmont University,Yes,1220,974,481,49
Beloit College,Yes,1320,923,284,69
Bemidji State University,No,1208,877,546,46
Benedictine College,Yes,632,620,222,58
Bennington College,Yes,519,327,114,55
Bentley College,Yes,3466,2330,640,82
Berry College,Yes,1858,1221,480,63
Bethany College,Yes,878,816,200,48
Bethel College KS,Yes,202,184,122,56
Bethel College,Yes,502,384,104,35
Bethune Cookman College,Yes,1646,1150,542,58
Birmingham-Southern College,Yes,805,588,287,72
Blackburn College,Yes,500,336,156,51
Bloomsburg Univ. of Pennsylvania,No,6773,3028,1025,75
Bluefield College,Yes,377,358,181,53
Bluffton College,Yes,692,514,209,58
Boston University,Yes,20192,13007,3810,72
Bowdoin College,Yes,3356,1019,418,96
Bowling Green State University,No,9251,7333,3076,67
Bradford College,Yes,443,330,151,46
Bradley University,Yes,3767,3414,1061,85
Brandeis University,Yes,4186,2743,740,84
Brenau University,Yes,367,274,158,49
Brewton-Parker College,Yes,1436,1228,1202,18
Briar Cliff College,Yes,392,351,155,58
Bridgewater College,Yes,838,673,292,82
Brigham Young University at Provo,Yes,7365,5402,4615,33
Brown University,Yes,12586,3239,1462,97
Bryn Mawr College,Yes,1465,810,313,89
Bucknell University,Yes,6548,3813,862,93
Buena Vista College,Yes,860,688,285,78
Butler University,Yes,2362,2037,700,83
Cabrini College,Yes,599,494,224,71
Caldwell College,Yes,1011,604,213,55
California Lutheran University,Yes,563,247,247,60
California Polytechnic-San Luis,No,7811,3817,1650,59
California State University at Fresno,No,4540,3294,1483,61
Calvin College,Yes,1784,1512,913,81
Campbell University,Yes,2087,1339,657,63
Campbellsville College,Yes,848,587,298,49
Canisius College,Yes,2853,2193,753,64
Capital University,Yes,1747,1382,449,83
Capitol College,Yes,100,90,35,52
Carleton College,Yes,2694,1579,489,91
Carnegie Mellon University,Yes,8728,5201,1191,74
Carroll College,Yes,1160,991,352,79
Carson-Newman College,Yes,1096,951,464,67
Carthage College,Yes,1616,1427,434,62
Case Western Reserve University,Yes,3877,3156,713,67
Castleton State College,No,1257,940,363,79
Catawba College,Yes,1083,880,291,55
Catholic University of America,Yes,1754,1465,505,75
Cazenovia College,Yes,3847,3433,527,118
Cedar Crest College,Yes,776,607,198,74
Cedarville College,Yes,1307,1090,616,64
Centenary College,Yes,369,312,90,24
Centenary College of Louisiana,Yes,495,434,210,66
Center for Creative Studies,Yes,601,396,203,47
Central College,Yes,1283,1113,401,67
Central Connecticut State University,No,4158,2532,902,49
Central Missouri State University,No,4681,4101,1436,50
Central Washington University,No,2785,2011,1007,51
Central Wesleyan College,Yes,174,146,88,58
Centre College,Yes,1013,888,288,74
Chapman University,Yes,959,771,351,47
Chatham College,Yes,212,197,91,52
